ID	Name	CPUPerc	MemUsage	NetIO	BlockIO
e2430b0e0bf8	company-api	4.64%	66.07MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.77%	65.26MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.17%	65.38MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.88%	65.55MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.05%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.07%	65.77MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.29%	65.87MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.08%	65.23MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.52%	65.35MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.21%	65.49MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.02%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.06%	65.64MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.43%	65.77MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.05%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.24%	65.95MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.62%	66.07MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.39%	65.23MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.02%	65.4MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.72%	65.59MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.33%	65.72MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.87%	65.79MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.18%	65.89MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.5kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.29%	65.14MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.19%	65.27MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.99%	65.39MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.58%	65.49MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.86%	65.6MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.72%	65.7MiB / 15.32GiB	23.4kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.6kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	107.2MiB / 15.32GiB	19.4kB / 2.05kB	39.4MB / 8.19kB
